no,Player,pos,wt,birth_date,nationality,exp,college,year,team,result
50,Eddie House,PG,180,14-May-78,us,9,Arizona State,2010,BOS,lost
26,Lester Hudson,PG,190,7-Aug-84,us,R,University of Tennessee at Martin,2010,BOS,lost
40,Oliver Lafayette,SG,190,6-May-84,us,R,Houston,2010,BOS,lost
12,Marcus Landry,SF,230,1-Nov-85,us,R,Wisconsin,2010,BOS,lost
43,Kendrick Perkins,C,270,10-Nov-84,us,6,,2010,BOS,lost
34,Paul Pierce,SF,235,13-Oct-77,us,11,Kansas,2010,BOS,lost
4,Nate Robinson,PG,180,31-May-84,us,4,Washington,2010,BOS,lost
9,Rajon Rondo,PG,180,22-Feb-86,us,3,Kentucky,2010,BOS,lost
44,Brian Scalabrine,PF,241,18-Mar-78,us,8,USC,2010,BOS,lost
12,Henry Walker,SF,220,9-Oct-87,us,1,Kansas State,2010,BOS,lost
30,Rasheed Wallace,C,225,17-Sep-74,us,14,UNC,2010,BOS,lost
13,Shelden Williams,PF,250,21-Oct-83,us,3,Duke,2010,BOS,lost
50,Joel Anthony,C,245,9-Aug-82,ca,3,UNLV,2011,MIA,lost
8,Carlos Arroyo,PG,202,30-Jul-79,pr,8,Florida International University,2011,MIA,lost
0,Mike Bibby,PG,190,13-May-78,us,12,Arizona,2011,MIA,lost
1,Chris Bosh,PF,235,24-Mar-84,us,7,Georgia Tech,2011,MIA,lost
15,Mario Chalmers,PG,190,19-May-86,us,2,Kansas,2011,MIA,lost
25,Erick Dampier,C,265,14-Jul-75,us,14,Mississippi State,2011,MIA,lost
40,Udonis Haslem,PF,235,9-Jun-80,us,7,Florida,2011,MIA,lost
55,Eddie House,SG,180,14-May-78,us,10,Arizona State,2011,MIA,lost
5,Juwan Howard,PF,240,7-Feb-73,us,16,Michigan,2011,MIA,lost
11,Zydrunas Ilgauskas,C,238,5-Jun-75,lt,12,,2011,MIA,lost
6,LeBron James,SF,250,30-Dec-84,us,7,,2011,MIA,lost
22,James Jones,SF,218,4-Oct-80,us,7,Miami (FL),2011,MIA,lost
21,Jamaal Magloire,C,259,21-May-78,ca,10,Kentucky,2011,MIA,lost
13,Mike Miller,SG,218,19-Feb-80,us,10,Florida,2011,MIA,lost
45,Dexter Pittman,C,308,2-Mar-88,us,R,Texas,2011,MIA,lost
42,Jerry Stackhouse,SG,218,5-Nov-74,us,15,UNC,2011,MIA,lost
3,Dwyane Wade,SG,220,17-Jan-82,us,7,Marquette,2011,MIA,lost
45,Cole Aldrich,C,250,31-Oct-88,us,1,Kansas,2012,OKC,lost
4,Nick Collison,PF,255,26-Oct-80,us,7,Kansas,2012,OKC,lost
14,Daequan Cook,SG,205,28-Apr-87,us,4,Ohio State,2012,OKC,lost
35,Kevin Durant,SF,240,29-Sep-88,us,4,Texas,2012,OKC,lost
37,Derek Fisher,PG,200,9-Aug-74,us,15,Little Rock,2012,OKC,lost
13,James Harden,SG,220,26-Aug-89,us,2,Arizona State,2012,OKC,lost
11,Lazar Hayward,SF,225,26-Nov-86,us,1,Marquette,2012,OKC,lost
9,Serge Ibaka,PF,235,18-Sep-89,cg,2,,2012,OKC,lost
7,Royal Ivey,SG,200,20-Dec-81,us,7,Texas,2012,OKC,lost
15,Reggie Jackson,PG,208,16-Apr-90,it,R,Boston College,2012,OKC,lost
6,Eric Maynor,PG,175,11-Jun-87,us,2,VCU,2012,OKC,lost
8,Nazr Mohammed,C,221,5-Sep-77,us,13,Kentucky,2012,OKC,lost
5,Kendrick Perkins,C,270,10-Nov-84,us,8,,2012,OKC,lost
